model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,poly,0.795,0.789,0.687,0.672,0.01902
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,sigmoid,0.36,0.36,0.41,0.405,0.00643
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,linear,0.734,0.729,0.723,0.716,0.00352
SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,rbf,0.813,0.812,0.699,0.7,0.00561
SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,poly,0.761,0.752,0.675,0.664,0.02379
SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,sigmoid,0.387,0.387,0.313,0.31,0.005
SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,linear,0.752,0.744,0.675,0.654,0.003
SVC,0,0,0,0,0,0,0,0,0,0,1.4,0,rbf,0.81,0.808,0.627,0.619,0.004
SVC,0,0,0,0,0,0,0,0,0,0,1.4,0,poly,0.773,0.766,0.783,0.777,0.0222
SVC,0,0,0,0,0,0,0,0,0,0,1.4,0,sigmoid,0.381,0.381,0.386,0.395,0.00551
SVC,0,0,0,0,0,0,0,0,0,0,1.4,0,linear,0.749,0.738,0.711,0.705,0.003
SVC,0,0,0,0,0,0,0,0,0,0,1.5,0,rbf,0.807,0.805,0.783,0.781,0.00461
SVC,0,0,0,0,0,0,0,0,0,0,1.5,0,poly,0.789,0.781,0.639,0.633,0.02402
SVC,0,0,0,0,0,0,0,0,0,0,1.5,0,sigmoid,0.381,0.381,0.313,0.309,0.00609
SVC,0,0,0,0,0,0,0,0,0,0,1.5,0,linear,0.734,0.729,0.723,0.717,0.00352
SVC,0,0,0,0,0,0,0,0,0,0,1.6,0,rbf,0.804,0.803,0.783,0.781,0.004
SVC,0,0,0,0,0,0,0,0,0,0,1.6,0,poly,0.804,0.8,0.675,0.668,0.01902
SVC,0,0,0,0,0,0,0,0,0,0,1.6,0,sigmoid,0.381,0.378,0.349,0.339,0.00658
SVC,0,0,0,0,0,0,0,0,0,0,1.6,0,linear,0.752,0.748,0.675,0.672,0.004
SVC,0,0,0,0,0,0,0,0,0,0,1.7,0,rbf,0.813,0.812,0.675,0.671,0.00455
SVC,0,0,0,0,0,0,0,0,0,0,1.7,0,poly,0.767,0.762,0.759,0.753,0.0233
SVC,0,0,0,0,0,0,0,0,0,0,1.7,0,sigmoid,0.344,0.344,0.458,0.45,0.005
SVC,0,0,0,0,0,0,0,0,0,0,1.7,0,linear,0.737,0.729,0.747,0.74,0.00343
SVC,0,0,0,0,0,0,0,0,0,0,1.8,0,rbf,0.807,0.803,0.759,0.758,0.00501
SVC,0,0,0,0,0,0,0,0,0,0,1.8,0,poly,0.77,0.764,0.699,0.677,0.01953
SVC,0,0,0,0,0,0,0,0,0,0,1.8,0,sigmoid,0.378,0.378,0.325,0.328,0.008
SVC,0,0,0,0,0,0,0,0,0,0,1.8,0,linear,0.713,0.704,0.759,0.751,0.00704
SVC,0,0,0,0,0,0,0,0,0,0,1.9,0,rbf,0.828,0.826,0.663,0.661,0.0056
SVC,0,0,0,0,0,0,0,0,0,0,1.9,0,poly,0.81,0.805,0.651,0.643,0.02822
SVC,0,0,0,0,0,0,0,0,0,0,1.9,0,sigmoid,0.378,0.376,0.313,0.31,0.00754
SVC,0,0,0,0,0,0,0,0,0,0,1.9,0,linear,0.713,0.7,0.795,0.79,0.00652
Decision Tree,gini,1,2,nan,0,0,0,0,0,0,0,0,0,0.746,0.747,0.723,0.724,0.004
Decision Tree,gini,1,2,sqrt,0,0,0,0,0,0,0,0,0,0.746,0.747,0.723,0.725,0.00352
Decision Tree,gini,1,2,log2,0,0,0,0,0,0,0,0,0,0.61,0.596,0.542,0.499,0.002
Decision Tree,gini,1,3,nan,0,0,0,0,0,0,0,0,0,0.758,0.757,0.723,0.721,0.00153
Decision Tree,gini,1,3,sqrt,0,0,0,0,0,0,0,0,0,0.619,0.595,0.518,0.506,0.002
Decision Tree,gini,1,3,log2,0,0,0,0,0,0,0,0,0,0.749,0.749,0.735,0.734,0.00245
Decision Tree,gini,1,4,nan,0,0,0,0,0,0,0,0,0,0.746,0.747,0.723,0.724,0.0085
Decision Tree,gini,1,4,sqrt,0,0,0,0,0,0,0,0,0,0.677,0.677,0.53,0.536,0.002
Decision Tree,gini,1,4,log2,0,0,0,0,0,0,0,0,0,0.58,0.582,0.482,0.482,0.003
Decision Tree,gini,1,5,nan,0,0,0,0,0,0,0,0,0,0.746,0.746,0.723,0.726,0.002
Decision Tree,gini,1,5,sqrt,0,0,0,0,0,0,0,0,0,0.571,0.522,0.554,0.505,0.002
Decision Tree,gini,1,5,log2,0,0,0,0,0,0,0,0,0,0.647,0.648,0.651,0.651,0.002
Decision Tree,gini,1,6,nan,0,0,0,0,0,0,0,0,0,0.767,0.767,0.687,0.676,0.003
Decision Tree,gini,1,6,sqrt,0,0,0,0,0,0,0,0,0,0.737,0.734,0.807,0.807,0.003
Decision Tree,gini,1,6,log2,0,0,0,0,0,0,0,0,0,0.571,0.538,0.614,0.571,0.001
Decision Tree,gini,1,7,nan,0,0,0,0,0,0,0,0,0,0.737,0.735,0.807,0.807,0.00417
Decision Tree,gini,1,7,sqrt,0,0,0,0,0,0,0,0,0,0.743,0.744,0.735,0.735,0.002
Decision Tree,gini,1,7,log2,0,0,0,0,0,0,0,0,0,0.74,0.739,0.795,0.789,0.00197
Decision Tree,gini,1,8,nan,0,0,0,0,0,0,0,0,0,0.755,0.755,0.735,0.724,0.00201
Decision Tree,gini,1,8,sqrt,0,0,0,0,0,0,0,0,0,0.752,0.75,0.747,0.749,0.00201
Decision Tree,gini,1,8,log2,0,0,0,0,0,0,0,0,0,0.659,0.655,0.639,0.639,0.00306
Decision Tree,gini,1,9,nan,0,0,0,0,0,0,0,0,0,0.761,0.76,0.711,0.705,0.003
Decision Tree,gini,1,9,sqrt,0,0,0,0,0,0,0,0,0,0.583,0.532,0.506,0.47,0.001
Decision Tree,gini,1,9,log2,0,0,0,0,0,0,0,0,0,0.619,0.597,0.518,0.494,0.002
Decision Tree,gini,1,10,nan,0,0,0,0,0,0,0,0,0,0.755,0.754,0.735,0.73,0.00201
Decision Tree,gini,1,10,sqrt,0,0,0,0,0,0,0,0,0,0.752,0.75,0.747,0.749,0.001
Decision Tree,gini,1,10,log2,0,0,0,0,0,0,0,0,0,0.656,0.653,0.651,0.644,0.002
Decision Tree,gini,1,11,nan,0,0,0,0,0,0,0,0,0,0.749,0.738,0.663,0.645,0.001
Decision Tree,gini,1,11,sqrt,0,0,0,0,0,0,0,0,0,0.589,0.558,0.554,0.536,0.00202
Decision Tree,gini,1,11,log2,0,0,0,0,0,0,0,0,0,0.74,0.738,0.795,0.797,0.001
Decision Tree,gini,1,12,nan,0,0,0,0,0,0,0,0,0,0.758,0.758,0.699,0.697,0.00198
Decision Tree,gini,1,12,sqrt,0,0,0,0,0,0,0,0,0,0.647,0.642,0.687,0.687,0.001
Decision Tree,gini,1,12,log2,0,0,0,0,0,0,0,0,0,0.595,0.564,0.518,0.462,0.002
Decision Tree,gini,1,13,nan,0,0,0,0,0,0,0,0,0,0.734,0.732,0.819,0.822,0.001
Decision Tree,gini,1,13,sqrt,0,0,0,0,0,0,0,0,0,0.746,0.746,0.747,0.747,0.0024
Decision Tree,gini,1,13,log2,0,0,0,0,0,0,0,0,0,0.665,0.659,0.614,0.614,0.001
Decision Tree,gini,1,14,nan,0,0,0,0,0,0,0,0,0,0.764,0.765,0.651,0.645,0.002
